question_id;study;item_admin;item;language;country;coder;last_updated_coding;WH_word;absolute;balance;centrality;concept;conc_complex;conc_simple;scale_corres;domain;dom_consumer;dom_european;dom_family;dom_health;intpoldomain;dom_leisure;dom_backgrou;natpoldomain;dom_other;dom_personal;dom_work;dont_know;subjectiveop;motivation;form_basic;showc_horiz;opinionother;instr_interv;intropresent;knowledge;labels;labels_gramm;scale_max;scal_neutral;ncategories;fixrefpoints;nfrequencies;nsents_intro;nsents_quest;nsub_quest;numsub_intro;nsyll_ans;nwords_intro;nwords_quest;showc_letter;labels_order;showc_over;encourage;showc_quest;question;scale_urange;ref_period;questiontype;intr_request;instr_respon;scale_basic;showc_boxes;usedshowcard;socdesir;showc_start;symmetry;scale_trange;nabst_ans;nabst_quest;nnouns_ans;nnouns_quest;nsyll_quest;gradation;stimulus;used_WH_word
5454;2;;testa06;ekk;EE;maarjasau;2010-02-11 20:47:18;.;0;.;2;7;.;3;3;3;.;.;.;9;.;.;.;.;.;.;.;2;.;0;0;0;.;1;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;8;0;2;1;.;.;.;1;2;.;.;1;0;.;1;1;.;1;1;0;0;0;2;23;.;1;.
5455;2;;testa07;ekk;EE;maarjasau;2010-02-03 04:51:43;.;0;.;1;5;.;.;3;3;.;.;.;9;.;.;.;.;.;.;.;2;.;0;0;0;.;1;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;10;0;2;1;.;.;.;1;2;.;.;1;0;.;1;1;.;1;1;0;1;0;3;26;.;1;.
5456;2;;testa08;ekk;EE;maarjasau;2010-02-11 21:01:17;.;0;.;3;7;.;5;3;10;.;.;7;.;.;.;.;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;9;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;3;0;4;21;.;1;.
5457;2;;testa09;ekk;EE;maarjasau;2010-02-11 21:02:40;.;0;.;3;7;.;5;3;10;.;.;4;.;.;.;.;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;10;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;1;0;4;19;.;1;.
5458;2;;testa10;ekk;EE;maarjasau;2010-02-11 21:03:24;.;0;.;3;7;.;7;3;7;.;.;.;.;.;.;.;.;.;.;3;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;13;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;3;0;5;24;.;1;.
5459;2;;testa11;ekk;EE;maarjasau;2010-02-03 02:53:31;10;0;1;3;2;.;.;1;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;0;.;27;.;8;1;1;0;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;3;0;3;25;1;0;1
5460;2;;testa12;ekk;EE;maarjasau;2010-02-03 03:02:36;10;0;1;2;2;.;.;1;1;.;.;.;.;.;.;.;1;.;.;.;2;1;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;1;.;27;.;13;1;1;0;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;4;0;4;28;1;0;1
5461;2;;testa13;ekk;EE;maarjasau;2010-02-03 03:09:45;10;0;1;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;0;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;0;.;27;.;9;1;1;0;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;2;0;2;23;1;0;1
5463;2;;testa15;ekk;EE;maarjasau;2010-02-04 21:39:29;9;0;0;1;5;.;.;.;10;.;.;4;.;.;.;.;.;.;.;.;2;0;1;2;0;0;1;0;2;.;.;.;.;.;.;88;.;5;1;.;3;.;48;0;.;1;0;.;.;.;2;1;.;1;2;.;1;0;.;.;.;0;9;0;11;140;1;0;1
5464;2;;testa16;ekk;EE;maarjasau;2010-02-11 21:29:57;9;0;0;1;5;.;.;.;10;.;.;4;.;.;.;.;.;.;.;.;2;0;1;2;.;0;1;0;2;.;.;.;.;.;.;100;.;2;0;.;3;.;24;.;.;.;0;.;.;.;2;2;.;0;2;.;0;0;.;.;.;0;3;0;3;46;1;0;1
5465;2;;testa17;ekk;EE;maarjasau;2010-02-11 21:31:39;9;0;0;1;5;.;.;.;10;.;.;4;.;.;.;.;.;.;.;.;2;0;1;2;.;0;1;0;2;.;.;.;.;.;.;100;.;2;0;.;3;.;23;.;.;.;0;.;.;.;2;2;.;0;2;.;0;0;.;.;.;0;4;0;4;49;1;0;1
5467;2;;testa19;ekk;EE;maarjasau;2010-02-07 00:37:02;.;0;0;2;1;.;.;2;7;.;.;.;.;.;.;.;.;.;.;2;2;0;0;2;.;0;1;1;.;3;0;.;3;4;1;.;1;1;0;0;32;8;4;.;1;.;0;.;.;0;2;1;0;0;0;.;0;1;.;.;1;0;1;0;1;10;1;0;0
5468;2;;testa20;ekk;EE;maarjasau;2010-02-07 00:43:44;.;0;0;4;1;.;.;2;7;.;.;.;.;.;.;.;.;.;.;7;2;0;0;2;.;0;1;0;.;3;0;.;3;4;1;.;.;1;0;.;22;.;4;.;1;.;0;.;.;0;2;1;.;0;0;.;0;1;.;.;1;0;1;0;1;10;1;0;0
5469;2;;testa21;ekk;EE;maarjasau;2010-02-07 00:48:08;.;0;0;1;1;.;.;2;7;.;.;.;.;.;.;.;.;.;.;2;2;0;0;2;.;0;1;0;.;3;0;.;3;4;1;.;.;1;0;.;16;.;11;.;1;.;0;.;.;0;2;1;.;0;0;.;0;1;.;.;1;0;3;0;3;21;1;0;0
5470;2;;testa22;ekk;EE;maarjasau;2010-02-11 21:04:19;10;1;0;3;7;.;5;2;10;.;.;7;.;.;.;.;.;.;.;.;3;1;0;1;1;0;1;0;.;2;1;.;.;5;1;.;.;2;0;.;46;.;22;1;1;1;1;0;.;.;2;2;.;1;0;0;1;1;1;.;0;6;4;8;4;53;1;0;1
5471;2;;testa23;ekk;EE;maarjasau;2010-02-11 21:09:54;10;1;0;3;7;.;5;2;10;.;.;4;.;.;.;.;.;.;.;.;3;1;0;1;1;0;0;0;.;2;1;.;.;5;1;.;.;2;0;.;44;.;22;1;1;1;1;0;.;.;2;2;.;1;0;0;1;1;1;.;0;2;4;8;4;53;1;0;1
5472;2;;testa24;ekk;EE;maarjasau;2010-02-11 21:16:05;10;1;0;3;7;.;7;0;7;.;.;.;.;.;.;.;.;.;.;3;3;1;0;1;1;0;0;1;.;2;1;.;.;5;1;.;1;1;0;0;46;9;22;1;1;1;1;0;.;.;2;2;1;1;0;0;1;1;1;.;0;5;4;10;4;53;1;0;1
5473;2;;testa25;ekk;EE;maarjasau;2010-02-02 16:33:56;11;0;0;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;1;1;1;.;0;1;0;2;2;0;.;3;11;2;.;.;3;3;.;13;.;27;.;1;.;1;.;.;0;2;2;.;0;0;.;0;1;.;.;1;1;4;1;5;62;1;1;1
5474;2;;testa26;ekk;EE;maarjasau;2010-01-29 03:53:57;.;0;.;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;0;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;1;1;1;1;4;.;1;.
5475;2;;testa27;ekk;EE;maarjasau;2010-01-29 03:58:51;.;0;.;2;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;0;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;1;0;1;1;4;.;1;.
5476;2;;testa28;ekk;EE;maarjasau;2010-02-03 05:01:32;11;0;0;3;1;.;.;3;3;.;.;.;9;.;.;.;.;.;.;.;2;0;0;1;0;0;1;0;.;3;0;.;1;5;3;.;.;3;0;.;27;.;24;0;2;1;1;.;.;1;2;2;.;1;0;.;1;1;.;1;1;0;2;0;6;55;1;1;1
5477;2;;testa29;ekk;EE;maarjasau;2010-02-11 20:53:50;.;0;.;2;7;.;3;3;3;.;.;.;9;.;.;.;.;.;.;.;2;.;0;0;0;.;1;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;8;0;2;1;.;.;.;1;2;.;.;1;0;.;1;1;.;1;1;0;0;0;2;23;.;1;.
5478;2;;testa30;ekk;EE;maarjasau;2010-02-03 05:10:08;.;0;.;1;5;.;.;3;3;.;.;.;9;.;.;.;.;.;.;.;2;.;0;0;0;.;1;0;.;3;0;.;1;5;3;.;.;1;0;.;27;.;9;0;2;1;.;.;.;1;2;.;.;1;0;.;1;1;.;1;1;0;1;0;3;26;.;1;.
5480;2;;testa32;ekk;EE;maarjasau;2010-02-07 00:58:39;10;0;0;2;1;.;.;1;7;.;.;.;.;.;.;.;.;.;.;2;2;0;1;1;1;0;0;0;2;2;0;.;3;11;2;.;.;3;0;.;16;.;31;1;1;1;1;0;.;0;2;2;.;1;0;0;1;1;0;.;1;0;3;0;4;60;1;0;1
5481;2;;testa33;ekk;EE;maarjasau;2010-02-07 01:05:41;10;0;0;4;1;.;.;1;7;.;.;.;.;.;.;.;.;.;.;7;2;0;1;1;1;0;0;0;2;2;0;.;3;11;2;.;.;3;0;.;10;.;31;1;1;1;1;0;.;0;2;2;.;1;0;0;1;1;0;.;1;0;3;0;4;51;1;0;1
5482;2;;testa34;ekk;EE;maarjasau;2010-02-07 01:06:25;11;0;0;1;1;.;.;1;7;.;.;.;.;.;.;.;.;.;.;2;2;0;1;1;1;0;0;0;2;2;0;.;3;11;2;.;.;3;0;.;12;.;35;1;1;1;1;0;.;0;2;2;.;1;0;0;1;1;0;.;1;2;5;2;6;65;1;0;1
5483;2;;testa35;ekk;EE;maarjasau;2010-02-03 03:18:59;10;0;1;3;2;.;.;1;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;0;.;14;.;8;1;1;1;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;3;0;3;25;1;0;1
5484;2;;testa36;ekk;EE;maarjasau;2010-02-03 03:25:45;11;0;1;2;2;.;.;1;1;.;.;.;.;.;.;.;1;.;.;.;2;1;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;1;.;14;.;14;1;1;1;0;0;.;1;2;2;.;0;0;0;1;1;0;1;1;0;4;0;4;29;1;0;1
5485;2;;testa37;ekk;EE;maarjasau;2010-02-03 03:31:00;10;0;1;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;0;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;0;.;14;.;9;1;1;1;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;2;0;2;23;1;0;1
5486;2;;testa38;ekk;EE;maarjasau;2010-02-02 16:41:48;11;0;0;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;1;1;1;.;0;1;0;2;2;0;.;3;11;2;.;.;3;1;.;13;.;27;.;1;.;1;.;.;0;2;2;.;0;0;.;0;1;.;.;1;2;6;2;6;59;1;1;1
5487;2;;testa39;ekk;EE;maarjasau;2010-01-29 04:18:07;.;0;.;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;1;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;2;1;2;1;4;.;1;.
5488;2;;testa40;ekk;EE;maarjasau;2010-01-29 04:22:11;.;0;.;2;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;1;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;2;0;2;1;4;.;1;.
7327;3;B35;IMSMETN;ekk;EE;maarjasau;2010-02-14 05:37:39;9;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;1;.;3;0;.;.;4;1;.;1;3;0;0;46;11;26;0;2;1;0;.;.;.;1;1;0;1;0;.;1;1;.;.;0;0;4;0;7;59;1;0;1
7328;3;B36;IMDFETN;ekk;EE;maarjasau;2010-03-08 16:11:33;8;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;0;.;3;0;.;.;4;1;.;.;3;1;.;46;.;24;0;2;1;0;.;.;.;1;1;.;1;0;.;1;1;.;.;0;0;5;0;6;57;1;0;1
7329;3;B37;IMPCNTR;ekk;EE;maarjasau;2010-03-08 16:12:21;8;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;0;.;3;0;.;.;4;1;.;.;3;0;.;46;.;18;0;2;1;0;.;.;.;1;1;.;1;0;.;1;1;.;.;0;0;2;0;4;45;1;0;1
7330;3;B38;IMBGECO;ekk;EE;maarjasau;2010-03-08 16:30:20;.;0;0;2;7;.;3;1;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;1;.;.;2;0;.;19;.;21;1;1;1;0;0;.;1;2;1;.;1;0;0;1;1;0;1;1;2;3;2;4;52;1;0;0
7331;3;B39;IMUECLT;ekk;EE;maarjasau;2010-02-14 05:34:28;.;0;0;1;1;.;.;1;14;.;.;.;.;.;1;.;.;.;.;.;2;1;0;1;1;0;0;0;.;2;0;.;1;11;1;.;.;2;0;.;16;.;20;1;1;1;0;0;.;1;2;1;.;1;0;0;1;0;0;1;1;2;2;2;4;53;1;0;0
7332;3;B40;IMWBCNT;ekk;EE;maarjasau;2010-02-14 05:47:09;.;1;0;2;7;.;3;1;4;.;.;.;.;.;.;5;.;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;1;.;.;3;0;.;15;.;22;1;1;1;0;0;.;1;2;1;.;1;0;0;1;1;0;1;1;2;4;2;6;53;1;0;0
7333;3;E26;LRNNEW;ekk;EE;maarjasau;2010-02-15 04:04:01;.;0;.;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;8;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;5;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;1;0;1;11;.;1;.
7334;3;E27;ACCDNG;ekk;EE;maarjasau;2010-02-15 04:05:51;.;0;.;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;2;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;8;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;1;0;1;20;.;1;.
7335;3;E28;PLPRFTR;ekk;EE;maarjasau;2010-02-15 04:08:14;.;0;.;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;9;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;2;0;2;25;.;1;.
7336;3;E40;DNGVAL;ekk;EE;maarjasau;2010-02-17 03:18:23;11;0;1;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;0;0;1;0;0;0;0;.;3;0;.;1;5;3;.;.;2;0;.;29;.;25;0;2;1;1;0;.;1;2;2;.;1;0;.;1;1;0;1;1;0;2;0;3;53;1;1;1
7337;3;E43;PPLLFCR;ekk;EE;maarjasau;2010-02-17 03:21:21;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;1;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;8;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;1;0;2;18;.;1;.
7338;3;E45;FLCLPLA;ekk;EE;maarjasau;2010-02-17 03:23:56;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;2;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;9;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;2;0;3;27;.;1;.
7339;3;HS1;testb1;ekk;EE;maarjasau;2010-02-14 05:38:51;11;0;1;2;7;.;3;3;1;.;.;.;.;.;.;.;1;.;.;.;2;0;0;1;0;0;0;1;.;3;0;.;1;5;3;.;4;2;0;0;28;51;26;0;2;1;0;.;.;1;1;2;0;1;0;.;1;1;.;1;1;0;6;0;7;67;1;1;1
7340;3;HS2;testb2;ekk;EE;maarjasau;2010-02-14 05:39:08;.;0;.;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;17;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;3;0;5;45;.;1;.
7341;3;HS3;testb3;ekk;EE;maarjasau;2010-02-14 05:39:22;.;0;.;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;15;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;3;0;3;40;.;1;.
